query_index,caption,rank_of_positive,image_index,image_path,score,is_positive
0,A tiny bathroom with only a toilet and a shelf.,112,12,http://images.cocodataset.org/val2014/COCO_val2014_000000457834.jpg,-0.22803330421447754,0
0,A tiny bathroom with only a toilet and a shelf.,112,299,http://images.cocodataset.org/val2014/COCO_val2014_000000296969.jpg,-0.22850856184959412,0
0,A tiny bathroom with only a toilet and a shelf.,112,238,http://images.cocodataset.org/val2014/COCO_val2014_000000146999.jpg,-0.22867225110530853,0
0,A tiny bathroom with only a toilet and a shelf.,112,252,http://images.cocodataset.org/val2014/COCO_val2014_000000419401.jpg,-0.22890068590641022,0
0,A tiny bathroom with only a toilet and a shelf.,112,430,http://images.cocodataset.org/val2014/COCO_val2014_000000327769.jpg,-0.22932235896587372,0
0,A tiny bathroom with only a toilet and a shelf.,112,147,http://images.cocodataset.org/val2014/COCO_val2014_000000057645.jpg,-0.22943748533725739,0
0,A tiny bathroom with only a toilet and a shelf.,112,136,http://images.cocodataset.org/val2014/COCO_val2014_000000139099.jpg,-0.22969754040241241,0
0,A tiny bathroom with only a toilet and a shelf.,112,29,http://images.cocodataset.org/val2014/COCO_val2014_000000102735.jpg,-0.2298382818698883,0
0,A tiny bathroom with only a toilet and a shelf.,112,40,http://images.cocodataset.org/val2014/COCO_val2014_000000540669.jpg,-0.2300281673669815,0
0,A tiny bathroom with only a toilet and a shelf.,112,435,http://images.cocodataset.org/val2014/COCO_val2014_000000009772.jpg,-0.2301367074251175,0
0,A tiny bathroom with only a toilet and a shelf.,112,463,http://images.cocodataset.org/val2014/COCO_val2014_000000528098.jpg,-0.23018878698349,0
0,A tiny bathroom with only a toilet and a shelf.,112,183,http://images.cocodataset.org/val2014/COCO_val2014_000000180362.jpg,-0.23019668459892273,0
0,A tiny bathroom with only a toilet and a shelf.,112,165,http://images.cocodataset.org/val2014/COCO_val2014_000000429025.jpg,-0.23030950129032135,0
0,A tiny bathroom with only a toilet and a shelf.,112,220,http://images.cocodataset.org/val2014/COCO_val2014_000000033638.jpg,-0.23034092783927917,0
0,A tiny bathroom with only a toilet and a shelf.,112,464,http://images.cocodataset.org/val2014/COCO_val2014_000000356623.jpg,-0.23034200072288513,0
0,A tiny bathroom with only a toilet and a shelf.,112,424,http://images.cocodataset.org/val2014/COCO_val2014_000000363830.jpg,-0.2303880751132965,0
0,A tiny bathroom with only a toilet and a shelf.,112,333,http://images.cocodataset.org/val2014/COCO_val2014_000000549817.jpg,-0.230391725897789,0
