query_index,caption,rank_of_positive,image_index,image_path,score,is_positive
0,A tiny bathroom with only a toilet and a shelf.,4,482,http://images.cocodataset.org/val2014/COCO_val2014_000000532126.jpg,0.1350390911102295,0
0,A tiny bathroom with only a toilet and a shelf.,4,474,http://images.cocodataset.org/val2014/COCO_val2014_000000006818.jpg,0.1238834485411644,0
0,A tiny bathroom with only a toilet and a shelf.,4,311,http://images.cocodataset.org/val2014/COCO_val2014_000000263474.jpg,0.115646131336689,0
0,A tiny bathroom with only a toilet and a shelf.,4,373,http://images.cocodataset.org/val2014/COCO_val2014_000000439398.jpg,0.1122763603925705,0
0,A tiny bathroom with only a toilet and a shelf.,4,0,http://images.cocodataset.org/val2014/COCO_val2014_000000175948.jpg,0.11018556356430054,1
0,A tiny bathroom with only a toilet and a shelf.,4,254,http://images.cocodataset.org/val2014/COCO_val2014_000000489613.jpg,0.10958937555551529,0
0,A tiny bathroom with only a toilet and a shelf.,4,157,http://images.cocodataset.org/val2014/COCO_val2014_000000575946.jpg,0.10826864838600159,0
0,A tiny bathroom with only a toilet and a shelf.,4,35,http://images.cocodataset.org/val2014/COCO_val2014_000000564003.jpg,0.10806761682033539,0
0,A tiny bathroom with only a toilet and a shelf.,4,8,http://images.cocodataset.org/val2014/COCO_val2014_000000249352.jpg,0.10741177946329117,0
0,A tiny bathroom with only a toilet and a shelf.,4,353,http://images.cocodataset.org/val2014/COCO_val2014_000000219916.jpg,0.1064600944519043,0
0,A tiny bathroom with only a toilet and a shelf.,4,250,http://images.cocodataset.org/val2014/COCO_val2014_000000531569.jpg,0.10372379422187805,0
0,A tiny bathroom with only a toilet and a shelf.,4,209,http://images.cocodataset.org/val2014/COCO_val2014_000000144062.jpg,0.10312039405107498,0
0,A tiny bathroom with only a toilet and a shelf.,4,146,http://images.cocodataset.org/val2014/COCO_val2014_000000251065.jpg,0.1021403893828392,0
0,A tiny bathroom with only a toilet and a shelf.,4,351,http://images.cocodataset.org/val2014/COCO_val2014_000000322122.jpg,0.1019359678030014,0
0,A tiny bathroom with only a toilet and a shelf.,4,340,http://images.cocodataset.org/val2014/COCO_val2014_000000022963.jpg,0.10180237889289856,0
0,A tiny bathroom with only a toilet and a shelf.,4,66,http://images.cocodataset.org/val2014/COCO_val2014_000000423971.jpg,0.10158451646566391,0
0,A tiny bathroom with only a toilet and a shelf.,4,278,http://images.cocodataset.org/val2014/COCO_val2014_000000494269.jpg,0.10113196074962616,0
0,A tiny bathroom with only a toilet and a shelf.,4,400,http://images.cocodataset.org/val2014/COCO_val2014_000000239959.jpg,0.10034018754959106,0
0,A tiny bathroom with only a toilet and a shelf.,4,230,http://images.cocodataset.org/val2014/COCO_val2014_000000067558.jpg,0.1000644713640213,0
0,A tiny bathroom with only a toilet and a shelf.,4,434,http://images.cocodataset.org/val2014/COCO_val2014_000000404785.jpg,0.10003888607025146,0
0,A tiny bathroom with only a toilet and a shelf.,4,315,http://images.cocodataset.org/val2014/COCO_val2014_000000572399.jpg,0.0996563732624054,0
0,A tiny bathroom with only a toilet and a shelf.,4,354,http://images.cocodataset.org/val2014/COCO_val2014_000000459934.jpg,0.09955910593271255,0
0,A tiny bathroom with only a toilet and a shelf.,4,496,http://images.cocodataset.org/val2014/COCO_val2014_000000160283.jpg,0.09870059788227081,0
0,A tiny bathroom with only a toilet and a shelf.,4,427,http://images.cocodataset.org/val2014/COCO_val2014_000000483348.jpg,0.09816330671310425,0
0,A tiny bathroom with only a toilet and a shelf.,4,203,http://images.cocodataset.org/val2014/COCO_val2014_000000101647.jpg,0.09801719337701797,0
0,A tiny bathroom with only a toilet and a shelf.,4,347,http://images.cocodataset.org/val2014/COCO_val2014_000000203085.jpg,0.09687633812427521,0
0,A tiny bathroom with only a toilet and a shelf.,4,263,http://images.cocodataset.org/val2014/COCO_val2014_000000281017.jpg,0.09670889377593994,0
0,A tiny bathroom with only a toilet and a shelf.,4,188,http://images.cocodataset.org/val2014/COCO_val2014_000000511236.jpg,0.09666287899017334,0
0,A tiny bathroom with only a toilet and a shelf.,4,425,http://images.cocodataset.org/val2014/COCO_val2014_000000380854.jpg,0.09656550735235214,0
0,A tiny bathroom with only a toilet and a shelf.,4,214,http://images.cocodataset.org/val2014/COCO_val2014_000000191381.jpg,0.09651847928762436,0
0,A tiny bathroom with only a toilet and a shelf.,4,36,http://images.cocodataset.org/val2014/COCO_val2014_000000497099.jpg,0.09587549418210983,0
0,A tiny bathroom with only a toilet and a shelf.,4,447,http://images.cocodataset.org/val2014/COCO_val2014_000000176778.jpg,0.0949995368719101,0
0,A tiny bathroom with only a toilet and a shelf.,4,39,http://images.cocodataset.org/val2014/COCO_val2014_000000246613.jpg,0.09477024525403976,0
0,A tiny bathroom with only a toilet and a shelf.,4,367,http://images.cocodataset.org/val2014/COCO_val2014_000000001803.jpg,0.09425238519906998,0
0,A tiny bathroom with only a toilet and a shelf.,4,97,http://images.cocodataset.org/val2014/COCO_val2014_000000024061.jpg,0.09425164014101028,0
0,A tiny bathroom with only a toilet and a shelf.,4,194,http://images.cocodataset.org/val2014/COCO_val2014_000000172886.jpg,0.0930701494216919,0
0,A tiny bathroom with only a toilet and a shelf.,4,319,http://images.cocodataset.org/val2014/COCO_val2014_000000342295.jpg,0.09300821274518967,0
0,A tiny bathroom with only a toilet and a shelf.,4,145,http://images.cocodataset.org/val2014/COCO_val2014_000000345224.jpg,0.09298544377088547,0
0,A tiny bathroom with only a toilet and a shelf.,4,121,http://images.cocodataset.org/val2014/COCO_val2014_000000474519.jpg,0.09259900450706482,0
0,A tiny bathroom with only a toilet and a shelf.,4,178,http://images.cocodataset.org/val2014/COCO_val2014_000000359659.jpg,0.09158998727798462,0
0,A tiny bathroom with only a toilet and a shelf.,4,378,http://images.cocodataset.org/val2014/COCO_val2014_000000512760.jpg,0.09106046706438065,0
0,A tiny bathroom with only a toilet and a shelf.,4,42,http://images.cocodataset.org/val2014/COCO_val2014_000000238090.jpg,0.0900426134467125,0
0,A tiny bathroom with only a toilet and a shelf.,4,410,http://images.cocodataset.org/val2014/COCO_val2014_000000314177.jpg,0.08999323844909668,0
0,A tiny bathroom with only a toilet and a shelf.,4,9,http://images.cocodataset.org/val2014/COCO_val2014_000000143370.jpg,0.08903948962688446,0
0,A tiny bathroom with only a toilet and a shelf.,4,153,http://images.cocodataset.org/val2014/COCO_val2014_000000008267.jpg,0.08875664323568344,0
0,A tiny bathroom with only a toilet and a shelf.,4,457,http://images.cocodataset.org/val2014/COCO_val2014_000000110559.jpg,0.08784420788288116,0
0,A tiny bathroom with only a toilet and a shelf.,4,361,http://images.cocodataset.org/val2014/COCO_val2014_000000225505.jpg,0.08781296014785767,0
0,A tiny bathroom with only a toilet and a shelf.,4,117,http://images.cocodataset.org/val2014/COCO_val2014_000000079465.jpg,0.08720533549785614,0
0,A tiny bathroom with only a toilet and a shelf.,4,379,http://images.cocodataset.org/val2014/COCO_val2014_000000045099.jpg,0.08546990901231766,0
0,A tiny bathroom with only a toilet and a shelf.,4,141,http://images.cocodataset.org/val2014/COCO_val2014_000000246701.jpg,0.08453628420829773,0
1,A parade of motorcycles is going through a group of tall trees.,18,154,http://images.cocodataset.org/val2014/COCO_val2014_000000183407.jpg,0.04225620627403259,0
1,A parade of motorcycles is going through a group of tall trees.,18,405,http://images.cocodataset.org/val2014/COCO_val2014_000000235595.jpg,0.03723922371864319,0
1,A parade of motorcycles is going through a group of tall trees.,18,346,http://images.cocodataset.org/val2014/COCO_val2014_000000507927.jpg,0.036785002797842026,0
